"","Economic","Environment","wantPossible","unityDifferences","lawsPeople","ownAll","pCongress","pBusiness","tCongress","tBusiness","Change","LGBT","mLeft","mRight"
"682",3.09604544091379,49.4704801525108,64,73,76,23,61.6987182944148,17.3574368969936,20.6225555529875,53.0594114580525,26.6862638383766,5,1,7
"683",3.41670413669064,4.04170413669065,46,76,88,16,82.1864594894562,72.6415094339623,46.6703662597114,70.865704772475,49.9291816546763,1,1,8
"684",NA,NA,100,45,43,35,66.4141438224099,73.2323241956306,33.5858590675123,42.4242424242424,70.8492830008383,4,3,5
"685",44.317397706356,0.917767992742241,NA,92,98,97,84.0853992896744,86.797862716868,5.60438180271583,39.7815885423105,50.9208777557107,4,3,7
"686",3.02383093525179,93.6488309352518,85,17,15,10,65.4605263157895,49.586073975814,18.421052631579,68.336073975814,52.2302158273381,5,4,7
"687",20.8873971222295,23.6500784744478,0,100,100,100,NA,51.2369830719225,NA,NA,50.1391997618289,3,4,4
"688",5.64560759839393,88.1456075983939,99,98,99,99,28.9464876081017,93.2132533126857,56.2809528033478,91.0061225826348,49.0079838594944,4,3,4
"689",7.94095527471483,4.54023233646697,97,100,100,0,NA,NA,49.1323036483572,91.8758645842347,53.911508184626,2,4,7
"690",26.1847709584917,26.6659268655161,50,100,0,100,38.4251843299029,54.3917216100228,24.5493505425773,85.1861752346982,68.3547733217935,1,3,4
"691",27.3066785524217,27.9779889772264,100,100,0,30,77.9635917572748,51.0206426892962,34.9936791828701,16.7562473387945,1.48020010200335,4,1,7
"693",7.28810701438848,9.16310701438849,30,82,76,81,29.7297297297297,46.7192778716216,18.4121621621622,45.7057643581081,87.5160184352518,5,3,3
"694",96.5152877697842,2.76528776978417,88,15,10,96,86.6554054054054,74.0841427364865,11.6554054054054,36.5841427364865,1.12100944244605,5,4,5
"695",49.1833408273381,10.4333408273381,70,35,85,37,68.2432432432432,69.1854940878378,35.1351351351351,62.2598184121622,78.0578349820144,4,7,8
"696",31.0088519549557,30.7928023367645,83,76,100,28,67.2231819894579,49.9315235349867,12.0378375053406,54.3760922220018,69.285238452031,4,1,4
"697",31.7013264388489,32.9513264388489,74,29,99,32,81.9256756756757,53.4760346283784,38.5135135135135,86.2463048986486,7.18440872302159,3,7,8
"698",87.2926034172662,5.41760341726619,59,86,99,0,76.6891891891892,19.3544130067568,29.7297297297297,71.0436021959459,90.8815759892087,5,7,8
"699",50.1532419465429,43.2782610200292,71,71,74,23,76.4354702645692,36.2599471856827,30.8982363582271,73.4401606373028,37.4106415055639,4,2,5
"700",29.4486285971223,29.4486285971223,51,50,100,53,87.8378378378378,84.3881967905405,10.3040540540541,56.5165751689189,50.5555867805756,3,2,5
"701",5.67768786450942,6.38078425427993,100,100,100,100,10.5463448024931,44.3204743521554,17.2870170502436,58.7616057623,2.93086386413025,4,5,7
"703",31.6451214028777,29.7701214028777,60,57,65,31,73.6486486486486,53.9827913851351,57.0945945945946,70.7057643581081,69.2774842625899,5,1,3
"704",0.67221223021583,0.0472122302158262,100,NA,100,0,82.0945894395983,64.65090674323,6.2499948450037,74.9549607972841,49.3795005194575,1,5,7
"705",4.5453012589928,93.9203012589928,96,97,98,22,32.9391891891892,81.8544130067568,17.2297297297297,46.043602195946,48.324246852518,4,1,3
"706",60.2370040975029,16.7165111199367,74,81,48,43,35.7784152030945,58.0483463075426,25.6890601581997,55.4864737722609,43.2590776426519,4,4,4
"707",8.68771165940978,5.54305757135945,93,100,100,0,47.6857311320755,52.6189072327044,13.094536163522,86.8956367924528,51.305138165571,3,5,7
"708",2.59386241007194,49.4688624100719,100,100,34,44,23.9864864864865,54.8273859797297,11.3175675675676,44.3544130067568,50.3701101618705,5,3,3
"709",85.2372303053802,7.10840233024899,77,82,100,83,56.625809251598,30.1493671081117,16.1117248711489,56.7099534415503,9.59554481852703,4,2,4
"710",29.7229091726619,30.9729091726619,98,51,99,2,22.1283783783784,63.4422508445946,24.3243243243243,72.7327913851351,59.1920526079136,4,5,7
"711",30.1931938674324,31.1914912611351,100,100,100,100,86.491162112259,87.5545052298005,6.56460017000383,11.9119113103905,50,4,5,5
"713",17.0846493077227,66.1360536369137,13,93,15,89,81.9623937155081,60.259522910712,58.9513948274667,73.6010174549246,51.2585443306914,5,2,3
"714",47.2071717625899,46.5821717625899,70,0,0,15,81.9256756756757,71.8881967905405,13.5135135135135,88.2733319256757,47.7408385791367,1,7,8
"715",9.20998313196782,7.71193612154415,100,0,96,0,56.5266215206354,17.971058260979,31.0911728980003,34.9076483745631,46.2324605344196,3,1,3
"716",5.03540917266188,5.66040917266187,99,98,100,0,52.027027027027,75.2665751689189,31.7567567567567,44.5233319256757,92.7138601618705,5,2,7
"717",79.4424607844352,11.6394304814049,100,100,100,0,85.0985440340909,85.2583451704545,14.6439985795455,83.0138697768703,15.6810133823209,5,1,7
"718",73.4891493922438,16.7079479692748,100,100,100,100,46.8340306342403,66.3638694376885,52.6206463198119,35.6224603290799,49.516410612109,5,5,7
"719",22.3044070236975,61.0544070236974,99,0,99,2,20.4391904779383,16.6659703125825,11.8243256130734,8.22002436663653,53.2284139729232,3,4,7
"720",87.5640484510783,6.5052944096354,100,100,0,100,28.1068353351155,3.3439778327337,91.9991114603637,47.6524243521493,84.6347959661782,3,1,7
"721",31.9157304066692,27.3702758612147,100,100,0,47,81.5000591856061,70.3909209280303,48.1667258522727,52.2091027462121,50.1637603179245,5,1,3
"723",97.8125,2.1875,57,0,0,100,51.3513513513513,78.9827913851351,42.7364864864865,69.5233319256757,65.2419626798561,1,1,3
"724",96.818232913669,0.568232913669065,98,100,0,0,69.0878378378378,43.1719805743243,29.222972972973,62.2598184121622,50.3979316546763,1,7,8
"725",28.2464047987684,31.3714047987684,87,49,100,5,66.8024397591204,55.0110320628277,7.5695828736101,44.9974545377701,98.90625,4,1,4
"726",90.4265962230216,4.80159622302158,79,96,85,19,52.1959459459459,58.7125211148649,26.5202702702703,44.0165751689189,93.6794626798561,4,1,4
"728",64.3024885542272,31.1960892492882,100,100,99,4,84.336772109523,46.2995413577918,26.2734673239968,88.4758169000799,92.3457344764382,4,5,5
"729",97.2613205342537,2.73867946574628,100,NA,5,0,85.7567763987437,52.4259879867387,10.6037729550106,84.4945313723829,50,3,1,3
"730",85.3714627670727,6.62148184055904,100,100,0,NA,76.2306816259284,93.1489673590302,21.3508867348016,45.3384398599755,50.5279866053904,3,5,5
"731",21.891680609017,27.3091277595251,14,44,48,91,48.3270983152752,50.7671827002417,16.0030920294267,40.474074399924,51.233135250033,4,2,4
